gene_id,gene_short_name,cell_group,marker_score,mean_expression,fraction_expressing,specificity,pseudo_R2,marker_test_p_value,marker_test_q_value,partition_assignment
ENSG00000204482,LST1,4,0.5853288293184785,10.614976192921501,0.9978401727861771,0.5865957748364838,0.8597591571276875,0,0,CD16+ Mono
ENSG00000204472,AIF1,4,0.4732151272484384,10.372866007721132,1,0.4732151272484384,0.8050446467506425,3.5689265181829184e-304,1.43004030442375e-298,CD16+ Mono
ENSG00000085514,PILRA,4,0.4609298255255156,1.1908340390046177,0.8444924406047516,0.5458069289470939,0.5454881109140144,8.554351307235827e-206,3.427660133998938e-200,CD16+ Mono
ENSG00000142089,IFITM3,4,0.5177179760290765,6.638295247904732,0.9568034557235421,0.5410912480845653,0.5940200123636221,4.0520435647975656e-224,1.623621440065866e-218,CD16+ Mono
ENSG00000129757,CDKN1C,4,0.5809888440248535,1.0499234863711688,0.7278617710583153,0.7982131595949769,0.5120633268744652,3.42093743284615e-193,1.3707422618419896e-187,CD16+ Mono
ENSG00000066336,SPI1,4,0.4365172840767387,4.570653733498662,0.980561555075594,0.44517071041306167,0.6469227778368338,3.9469103899124294e-244,1.581495417954791e-238,CD16+ Mono
ENSG00000166927,MS4A7,4,0.6550510377024721,2.3981497946266415,0.9071274298056156,0.7221157868005823,0.7064642125809566,1.0653786127251431e-266,4.2688868709006305e-261,CD16+ Mono
ENSG00000148737,TCF7L2,4,0.3964645483057536,0.6360787692417349,0.6695464362850972,0.5921389866631094,0.3973761915005274,4.5914166514476696e-150,1.8397439209018696e-144,CD16+ Mono
ENSG00000155465,SLC7A7,4,0.41179541560137095,0.9228075304156677,0.7926565874730022,0.519513017502547,0.47626158948384023,1.0369632296806244e-179,4.155028704271888e-174,CD16+ Mono
ENSG00000197249,SERPINA1,4,0.5508529433954188,5.715788342939624,0.978401727861771,0.5630130525211455,0.7459779044164867,1.0541421106814894e-281,4.2238631061318736e-276,CD16+ Mono
ENSG00000140105,WARS,4,0.4307390100104578,1.9130357966728175,0.8509719222462203,0.5061729990732029,0.4603069887151044,1.0428756861114776e-173,4.178719444193802e-168,CD16+ Mono
ENSG00000140379,BCL2A1,4,0.41035772489424716,1.612541122875128,0.8833693304535637,0.464536984415737,0.4816234444647197,9.948677207548061e-182,3.986355367646848e-176,CD16+ Mono
ENSG00000101336,HCK,4,0.4470015928958215,1.5748225413766752,0.8552915766738661,0.5226306502797105,0.5166578768372638,6.350004003010683e-195,2.5443958039743567e-189,CD16+ Mono
ENSG00000204103,MAFB,4,0.4275503635771666,2.1936331403402263,0.896328293736501,0.47700197189452564,0.5388647077151087,2.695018037677363e-203,1.079872167553018e-197,CD16+ Mono
ENSG00000224397,SMIM25,4,0.676087033222322,2.6413943280545316,0.9416846652267818,0.7179548082154474,0.7680220749902326,4.390624884570945e-290,1.759288266248501e-284,CD16+ Mono
ENSG00000197766,CFD,4,0.5089861405084061,2.6357348424848013,0.9524838012958964,0.5343777393546304,0.6415602550058606,4.231330681732883e-242,1.6954603535249122e-236,CD16+ Mono
ENSG00000216490,IFI30,4,0.41411056307522787,1.8640343968870219,0.8833693304535637,0.4687853073443289,0.51503112291432,2.605063475494656e-194,1.0438280941229047e-188,CD16+ Mono
ENSG00000175489,LRRC25,4,0.5330267707756349,1.451893760168699,0.9006479481641468,0.5918258869763044,0.6274576085562572,9.199579768174454e-237,3.686198016469358e-231,CD16+ Mono
ENSG00000197405,C5AR1,4,0.48455318448446394,1.548880061722366,0.8466522678185745,0.57231664391915,0.5244380081131904,7.418784983511635e-198,2.972647792613244e-192,CD16+ Mono
ENSG00000131042,LILRB2,4,0.5190800116371691,1.8363765873229416,0.91792656587473,0.5654918715011984,0.6306597776931471,5.6508543246391555e-238,2.2642521210483124e-232,CD16+ Mono
ENSG00000100292,HMOX1,4,0.5486386430562995,1.4598523891177293,0.8531317494600432,0.643087827177384,0.6033283916385432,1.2285438260062907e-227,4.9226768273011264e-222,CD16+ Mono
ENSG00000163687,DNASE1L3,5,0.5588292796052574,0.8817006576427264,0.6666666666666666,0.8382439194078861,0.49261832529691635,1.1119996133637493e-85,4.4556934907794744e-80,DC
ENSG00000152492,CCDC50,5,0.5949538527450174,2.7497957565385986,0.946969696969697,0.6282712684987384,0.7265254972588733,1.0933714125553833e-125,4.381051780396416e-120,DC
ENSG00000146072,TNFRSF21,5,0.543758392781083,0.7110826284503997,0.696969696969697,0.7801750852945972,0.5148823497747747,1.751358156277353e-89,7.0175520235508515e-84,DC
